hieroglyph	gardiner_codes	transliteration	english	occurrence
𓇥𓂋	M36,D21	Dr	at an end	26.0
𓈍	N28	xaw	crown	26.0
𓊹𓀭	R8,A40	nTr	god	25.5
𓀢	A30	iAw	adoration	25.0
𓁛	C2	ra	Re	25.0
𓅐	G14	mwt	mother	25.0
𓇯	N1	pt	sky, heaven	24.5
𓇯	N1	hAyt	portal	24.5
𓏞	Y3	Tms	be besmeared	23.1
𓊡	P5	TAw	wind	23.0
𓏌𓎡	W24,V31	ink	I am, belonging to me	23.0
𓍱	V6	Ss	rope	22.6667
𓍱	V6	Ss	alabaster, vessels of alabaster	22.6667
𓀙	A21	sr	nobleman, magistrate	22.0
𓏏𓄿	X1,G1	tA	this, the	21.6
𓎼𓂋	W11,D21	grw	also, further, any more	20.5
𓅃𓀭	G5,A40	Hr	Horus	20.0
𓎛𓈖	V28,N35	Hna	together with, and	20.0
𓅡	G29	bA	possess a soul, be a soul	19.5
𓅠𓅓	G28,G17	gmi	find, use (one''s hand), be able to (do something), control (land)	19.0
𓌾	U10	it	barley, (corn en general)	19.0
𓎡𓇋𓇋	V31,M17,M17	ky	other, another	18.6667
𓋀	R14	imnt	the West	18.5
𓌡𓏤	T21,Z1	wa	unique, one only, sole	18.3333
𓌡𓏤	T21,Z1	wai	be alone	18.3333
𓌨𓂋	T28,D21	Xr	under, carrying, holding, possessing	18.25
𓌨𓂋	T28,D21	Xr	at (head or foot), through (of means), subject (to someone''s actions)	18.25
𓌉	T3	HD	white, bright	18.1667
𓀯	A41	nsw	king of Upper Egypt, king	18.0
𓅓𓁹	G17,D4	m  ir	do not	18.0
𓏏𓈖	X1,N35	tn	this	17.5464
𓏏𓈖	X1,N35	Tn	you, your	17.5464
𓃹𓈖𓈖	E34,N35,N35	wnn	be, exist	17.5
𓆰	M2	i	I, me, my	17.5
𓆰	M2	=i	I, me, my	17.5
𓅢	G30	bAw	souls (of dead)	17.0
𓍘𓇋	U33,M17	ti	not translated	17.0
𓊃𓈖	O34,N35	sn	they, them, their	16.9571
𓊃𓈖	O34,N35	=sn	they, them, their	16.9571
𓏏𓏏	X1,X1	twt	full, entire	16.95
𓇉	M16	mHw	Lower Egypt	16.8333
𓋁	R15	iAby	left (hand), east, eastern, the left side of	16.5833
𓂝𓏏	D36,X1	at	house	16.0
𓊹𓅆	R8,G7	nTr	god	16.0
𓌃𓂧𓏭𓀁	S43,D46,Z4,A2	mdw	speak, address (someone), speech, word, plea	16.0
𓏃	W17	xnty	who is at the head of, foremost	16.0
𓇋𓅓	M17,G17	im	there, therein, therewith, therefrom	15.75
𓇋𓅓	M17,G17	im	in, with, by means of, from, out of, as, namely, when, as, though, together with	15.75
𓅭𓏤	G39,Z1	aff	fly	15.5
𓂾	D56	wart	quarter (of necropolis)	15.3333
𓂾	D56	rd	foot	15.3333
𓂋𓆑	D21,I9	rf	not to be translated	15.0
𓃝	E10	bA	ram	15.0
𓅧	G35	aq	enter (into)	15.0
𓇇	M15	mHw	Lower Egypt	15.0
𓊪𓏏𓇯	Q3,X1,N1	pt	sky, heaven	15.0
𓏊	W22	Hnkt	beer	15.0
𓈐	N31	wA	far (from), long ago, for a long time past, go	14.6667
𓈐	N31	wA	fall (into  a condition)	14.6667
𓂚	D34	aHA	warrior	14.5
𓄔	F21	sDm	hear (voice etc), hear of 9something), listen (to), obey, understand, judge, satisfy (conditions)	14.0
𓇔	M24	rsy	southern, south of, South	14.0
𓍃𓅓	U15,G17	tm	(negates the sentence)	14.0
𓏏𓆑	X1,I9	it	father	14.0
𓏏𓆑	X1,I9	tf	that (over there)	14.0
𓇓𓏏	M23,X1	swt	force (of wind)	13.8333
𓈝	N40	Sm	pass (of property)	13.5
𓇼𓄿	N14,G1	dwA	praise, worship	13.25
𓀻	A50	i	I,me,my	13.0
𓀻	A50	=i	I,me,my	13.0
𓆤	L2	bity	king of Lower Egypt	13.0
𓊚	O51	Snwt	granary	13.0
𓋉	R22	mnw	Min (god)	13.0
𓊢	P6	aHa	stand	12.9833
𓊢	P6	aHa	portion, allotment	12.9833
𓀗	A19	iAwi	be aged, attain old age, old age	12.8333
𓀗	A19	iky	quarryman	12.8333
𓎔𓏛	V22,Y1	mH	fill, be full of, pay in full, make whole, complete, finish	12.6667
𓎔𓏛	V22,Y1	mH	be full, be complete,	12.6667
𓎔𓏛	V22,Y1	mH	inlay	12.6667
𓂋𓏤	D21,Z1	r	mouth, opening, utterance, speech, language, intent	12.5
𓂋𓏤	D21,Z1	r	water''s edge	12.5
𓄊	F12	wsr	powerful	12.25
𓄊	F12	wsrw	strength, power	12.25
𓂋𓈖	D21,N35	rn	name	12.2143
𓂋𓈖	D21,N35	rn	young one (of animals)	12.2143
𓄤	F35	nfr	good, beautiful  etc......	12.0048
𓄤	F35	nfr	beauty	12.0048
𓄤	F35	nfr	zero	12.0048
𓄂𓏏𓏭𓄣	F4,X1,Z4,F34	HAty	heart, central chest , thought	12.0
𓊌𓏤	O39,Z1	stAt	aroura (of land), sheet (of metal)	12.0
𓍅𓏛	U17,Y1	grg	found (a land), establish (a house), people (a place)	11.6667
𓍅𓏛	U17,Y1	grg	furnish (waste lands with veg), settle (crown on king), provide (for), set in order,	11.6667
𓍅𓏛	U17,Y1	grg	be ready, put one''s trust (in), make preparation	11.6667
𓀉	A7	bAgi	weariness, languor, slackness, remissness	11.5
𓀉	A7	Hmsi	sit down	11.5
𓅜	G25	Ax	spirit	11.3333
𓅜	G25	Ax	be, become a spirit, beneficial, useful, profitable	11.3333
𓉐𓏤	O1,Z1	pr	house, household, palace, temple	11.3333
𓊢𓂝	P6,D36	aHa	attendant	11.15
𓀾	A53	twt	statue, image, figure, likeness	11.0
𓂿	D57	siAt	encroach upon (lands), cheat	11.0
𓃫	E21	stX	Seth (god)	11.0
𓇾𓇾	N16,N16	tAwy	the Two Lands, Egypt	11.0
𓊪𓆑	Q3,I9	pf	that (yonder)	11.0
𓋸𓋸	S33,S33	Tbwty	sandals, soles (of feet)	11.0
𓌀	S40	wAs	dominion, have dominion	11.0
𓌬	T32	sSm	conduct (work, war)	11.0
𓍊	U22	mnx	potent (of king etc...)	11.0
𓎆𓎆𓎆	V20,V20,V20	mabA	harpoon	11.0
𓃀𓈖	D58,N35	bn	negative particle	10.9167
𓈖𓏏	N35,X1	nt	of, belonging to	10.8381
𓋴𓏏	S29,X1	st	it, them	10.6575
𓁹𓏏𓏤	D4,X1,Z1	irt	eye	10.5
𓆈	I1	aSA	many, numerous, much, plentiful, ordinary, quantity, multitude	10.5
𓊨𓏏𓉐	Q1,X1,O1	st	seat, throne, place, grounds (of house), department, office, storehouse, position, rank of official	10.0
𓋩	S20	xtm	seal	10.0
𓍛𓀭	U36,A40	Hm	Majesty	10.0
𓎛𓈖𓂝	V28,N35,D36	Hna	together with, and, therewith, together with them	10.0
𓏎𓈖	W25,N35	ini	bring, fetch, carry off, remove, overcome, reach, attain, buy, appoint, use	10.0
𓅓𓂝	G17,D36	m	(not translated)	9.90833
𓅓𓂝	G17,D36	m	behold	9.90833
𓅓𓂝	G17,D36	m	who ?, what ?	9.90833
𓅓𓂝	G17,D36	m	take !	9.90833
𓅓𓂝	G17,D36	m  a	in the hand, possession, charge of, together with, from	9.90833
𓂝𓏤	D36,Z1	a	arm, hand, forearm	9.88889
𓂝𓏤	D36,Z1	a	region, province	9.88889
𓂝𓏤	D36,Z1	a	condition, state	9.88889
𓂝𓏤	D36,Z1	a	item, piece	9.88889
𓂝𓏤	D36,Z1	a	track, trace	9.88889
𓂝𓏤	D36,Z1	a	warrant, certificate	9.88889
𓂝𓏤	D36,Z1	mH	forearm	9.88889
𓅮	G40	pA	this, the	9.75
𓅮	G40	pAw	''past tense'' marker	9.75
𓂢	D41	mH  tA	land cubit  (one hundredth of one auoura)	9.66667
𓂢	D41	rmn	shoulder, arm, uprights (of ladder), side	9.66667
𓂢	D41	rmn	half (of rod, aroura)	9.66667
𓁀	A55	XAt	corpse	9.5
𓁀	A55	sDr	spend the night, sleep, lie down, go to rest, be inert, inactive, do in the night	9.5
𓇆𓏛	M14,Y1	wADw	happiness	9.5
𓊹𓊹𓊹	R8,R8,R8	nTrw	gods	9.5
𓌙𓅯	T14,G41	qmA	throw, create, beget, produce, carry out (teaching), hammer out (from metal)	9.5
𓇋𓋴	M17,S29	is	part\u00edcula encl\u00edtica	9.48333
𓏴𓂡	Z9,D40	swA	break, cut (throat), cut off, cut down	9.33333
𓄙	F25	wHm	ass	9.16667
𓄙	F25	wHm	repeat	9.16667
𓆓𓏏	I10,X1	Dt	estate	9.16667
𓋭	S24	Ts	model (face of sphinx)	9.16667
𓅨𓂋	G36,D21	wrr	great, much, many, eldest, important	9.09524
𓅨𓂋	G36,D21	wr	greatness (of size), sufficiency (of food), excess (of supplies), much, how much ?	9.09524
𓅨𓂋	G36,D21	wr	great one, magnate	9.09524
𓅨𓂋	G36,D21	wri	portion (of meat)	9.09524
𓂝𓏛	D36,Y1	a	warrant, certificate, record, register	9.0
𓄈	F10	am	know	9.0
𓆃	H5	DnH	wing	9.0
𓊦	P10	Hmw	steering-oar	9.0
𓇉𓄿	M16,G1	HA	in attendance	8.83333
𓋁𓃀	R15,D58	Abi	desire, wish for	8.75
𓉻𓏛	O29,Y1	aA(i)	great (of size)	8.66667
𓂜𓈖	D35,N35	nn	not	8.5
𓁹𓁹	D4,D4	irwy	eyes	8.5
𓃭𓏤	E23,Z1	rw	lion	8.5
𓄖	F22	pHwy	reach, attain, finish, end by, attack, contest, spear, hit, surround, caught	8.5
𓄖	F22	pHwy	hinder parts, hind quarters	8.5
𓍛𓏤	U36,Z1	Hm	Majesty (of king)	8.5
𓀐	A14	mt	die, perish, death	8.0
𓂸𓏏	D52,X1	mt	strip ? (of cloth)	8.0
𓄡𓏏𓏤	F32,X1,Z1	Xt	belly, womb, body, sole (of foot)	8.0
𓇋𓅱	M17,G43	iiw	welcome	8.0
𓇋𓅱	M17,G43	iw	is, are	8.0
𓇦	M37	dmA	bind together	8.0
𓈀	N18	stAt	aroura (of land), sheet (of metal)	8.0
𓇰	N2	xAwy	night	8.0
𓈅𓈅	N21,N21	idbwy	the Two Banks (Egypt)	8.0
𓉴	O24	mr	pyramid	8.0
𓊜	P1A	pna	turn upside down	8.0
𓊨𓁹	Q1,D4	wsir	Osiris	8.0
𓍁	U13	hb	plough	8.0
𓆣𓂋	L1,D21	xpr	exist, be, come into being, become, change (into), occur, happen, come to pass	7.9
𓆣𓂋	L1,D21	xpr	take place, be effective, go by, be past, continue (of action)	7.9
𓆣𓂋	L1,D21	xpr	bring about	7.9
𓆣𓂋	L1,D21	xpr	fully cooked (of meat)	7.9
𓁸	D3	wS	be destroyed	7.66667
𓁸	D3	Snw	hair, grass	7.66667
𓋾𓈎	S38,N29	HqA	rule over, govern	7.66667
𓎼𓂋𓍅𓏛	W11,D21,U17,Y1	grg	found (a land), establish (a house), people (a place)	7.5
𓎼𓂋𓍅𓏛	W11,D21,U17,Y1	grg	furnish (waste lands with veg), settle (crown on king), provide (for), set in order,	7.5
𓎼𓂋𓍅𓏛	W11,D21,U17,Y1	grg	be ready, put one''s trust (in), make preparation	7.5
𓀒	A15	xr	fall (in military sense)	7.33333
𓀒	A15	xrw	enemy	7.33333
𓁶𓏤	D1,Z1	tp	head, headman, chief, tip (of toe), example (mathematics), the best of	7.04286
𓁶𓏤	D1,Z1	tp	(financial) principal	7.04286
