hieroglyph	gardiner_codes	transliteration	english	occurrence
𓄭𓏤𓄹	F42,Z1,F51	spr	rib	0.0
𓄭𓂋𓂻	F42,D21,D54	spr	arrive, reach, come	0.0
𓄭𓂋𓀁	F42,D21,A2	spr	appeal to, petition (someone), make petition	0.0
𓄭𓂋𓅱𓀁𓏛𓏥	F42,D21,G43,A2,Y1,Z2	sprw	petitions	0.0
𓄭𓂋𓅱𓀁𓀀	F42,D21,G43,A2,A1	sprw	petitioner	0.0
𓄭𓂋𓅱𓀀	F42,D21,G43,A1	sprw	petitioner	0.0
𓄭𓂋𓇋𓇋𓀁𓀀	F42,D21,M17,M17,A2,A1	sprw	petitioner	0.0
𓄭𓂋𓏏𓏭𓀀	F42,D21,X1,Z4,A1	sprty	petitioner	0.0
𓄯𓏏𓏛𓏥	F44,X1,Y1,Z2	iwat	inheritance, heritage	0.0
𓄯𓅱	F44,G43	isw	reward	0.0
𓄯𓏏	F44,X1	iswty	representative	0.0
𓄰𓏏𓏤𓃒	F45,X1,Z1,E1	idt	cow	0.0
𓄰𓄻	F45,F51B	idt	womb, vulva, uterus	0.0
𓄲𓈖	F46,N35	wdn	offer (to)	0.0
𓄲𓂋𓂾	F46,D21,D56	pXr	turn, turn about	0.0
𓄲𓂋𓂻𓅓	F46,D21,D54,G17	pXr  m	go about in, pervade	0.0
𓄲𓇉𓊗𓏤𓏤𓏤𓏤	F46,M16,O50,Z1,Z1,Z1,Z1	pXr  sp  4	go round about four times	0.0
𓄲𓂋𓏏𓈒𓏥	F46,D21,X1,N33,Z2	pXrt	prescription, remedy	0.0
𓄲𓏏𓏤𓀜𓀀𓏥	F46,X1,Z1,A24,A1,Z2	pXrt	frontier patrol	0.0
𓄲𓂋𓅨𓂋𓈗𓈘	F46,D21,G36,D21,N35A,N36	pXr  wr	River Euphrates	0.0
𓄲𓂋𓅨𓈘	F46,D21,G36,N36	pXr  wr	River Euphrates	0.0
𓄲𓂋𓂻𓅨𓂋𓈘𓈇𓏤	F46,D21,D54,G36,D21,N36,N23,Z1	pXr  wr	River Euphrates	0.0
𓄲𓈖𓂻	F46,N35,D54	dbn	go round (a place), travel round (a region), encircle (with)	0.0
𓄲𓈖𓂻	F46,N35,D54	dbn	recur (of plants in season)	0.0
𓄲𓈖𓏏𓂻	F46,N35,X1,D54	dbnt	circuit (of ocean)	0.0
𓄲𓈖𓏌𓅱𓂻	F46,N35,W24,G43,D54	dbnw	circumference (of sky)	0.0
𓄲𓈖𓏌𓅱𓋪	F46,N35,W24,G43,S21	dbnw	circumference (of sky)	0.0
𓄲𓈖𓊌	F46,N35,O39	dbn	weight (of about 91 grammes), weight (of balance)	0.0
𓄲𓈖𓂂	F46,N35,D12	dbn	weight (of about 91 grammes), weight (of balance)	0.0
𓄲𓈖𓈒𓏥	F46,N35,N33,Z2	dbn	(builder''s) mortar, (potter''s) clay	0.0
𓄶𓂋𓏏𓏭𓂻	F48,D21,X1,Z4,D54	pXrty	traveller	0.0
𓄷𓈖𓂻	F49,N35,D54	dbn	go round (a place), travel round (a region)	0.0
𓄷𓈖𓊌	F49,N35,O39	dbn	weight (of about 91 grammes), weight (of balance)	0.0
𓄷𓈖𓈔	F49,N35,N34	dbn	helmet	0.0
𓄃𓄿	F5,G1	SsA	be conversant (with)	0.0
𓄃𓅱𓏛𓏥	F5,G43,Y1,Z2	SsAw	(medical) prescription	0.0
𓄸	F50	spXr	register, copy	0.0
𓄺𓂋𓀭	F51A,D21,A40	wsir	Osiris	0.0
𓄄𓏛	F6,Y1	SsA	be wise	0.0
𓏏𓇋𓇋	F62,X1,M17,M17	bAtyt	devotee of Hathor	0.0
𓄅	F7	Sft	ram - headed figure (of Amun)	0.0
𓄅𓏏	F7,X1	Sfyt	majesty, respect	0.0
	F88	niAw	ibex	0.0
𓄇𓄇	F9,F9	pHty	(physical) strength, power (of god,king)	0.0
𓄇𓏏𓏭	F9,X1,Z4	pHty	(physical) strength, power (of god,king)	0.0
𓄿𓂾	G1,D56	A	tread	0.0
𓄿𓏏𓄇	G1,X1,F9	At	striking-power	0.0
𓄿𓏏𓏯𓇳	G1,X1,Z5,N5	At	momento, instante, tiempo	0.0
𓄿𓏏𓄇	G1,X1,F9	At	momento, instante, tiempo (en general)	0.0
𓄿𓏏𓄇𓇳	G1,X1,F9,N5	At	momento, instante, tiempo (en general)	0.0
𓄿𓄿𓈇𓏤	G1,G1,N23,Z1	AA	mound of ruins	0.0
𓄿𓄿𓏏𓄿𓂡𓀐	G1,G1,X1,G1,D40,A14	AAtA	Nubian chieftain ?	0.0
𓄿𓇋𓏲𓊡	G1,M17,Z7,P5	Aiw	windy ?	0.0
𓄿𓇋𓋴	G1,M17,S29,J2	Ais	viscera	0.0
𓄿𓋴	G1,S29,J2	Ais	viscera	0.0
𓄿𓇋𓇋𓏏𓅪	G1,M17,M17,X1,G37	Ayt	blanch ?	0.0
𓄿𓏏𓀜	G1,X1,A24	Ayt	blanch	0.0
𓄿𓂝𓅱	G1,D36,G43,Q33	Aaw	container (for papyri)	0.0
𓄿𓂝𓅱𓄛	G1,D36,G43,F27	Aaw	container	0.0
𓄿𓂝𓃀𓏏𓅪	G1,D36,D58,X1,G37	Aabt	oppression	0.0
𓄿𓂝𓃀𓏏𓄐𓅪𓏥	G1,D36,D58,X1,F17,G37,Z2	Aabt	oppression	0.0
𓄿𓄫𓅱	G1,F40,G43	Awy	announce (someone)	0.0
𓄿𓃀	G1,D58,J1	Abx	link (arms)	0.0
𓄿𓊪𓎛𓏯	G1,Q3,V28,Z5	ApH	swine, pigs	0.0
𓄿𓊪𓂧𓂻	G1,Q3,D46,D54	Apd	rush forward	0.0
𓄿𓆑𓂝𓃲	G1,I9,D36,E28	Afa	gluttony	0.0
𓄿𓆑𓂝𓃲𓀀	G1,I9,D36,E28,A1	Afa	glutton	0.0
𓄿𓆑𓂋𓇋𓇋𓊮	G1,I9,D21,M17,M17,Q7	Afry	boil	0.0
𓄿𓅓𓊮	G1,G17,Q7	Am	burn, burn up	0.0
𓄿𓆑𓂧𓂾	G1,I9,D46,D56	Afd	part of animal leg	0.0
𓄿𓏇𓇋𓀜	G1,W19,M17,A24	Ami	mix	0.0
𓄿𓅓𓂝𓅬	G1,G17,D36,G38	Ama	a perching bird	0.0
𓄿𓅓𓂝𓏏𓂡	G1,G17,D36,X1,D40	Amat	ramus (of jaw), fork (of bone), hinged bone	0.0
𓄿𓅓𓂝𓏏𓂝	G1,G17,D36,X1,D36	Amat	ramus (of jaw), fork (of bone), hinged bone	0.0
𓄿𓅓𓂝𓅱𓏏𓂡	G1,G17,D36,G43,X1,D40	Amat	ramus (of jaw), fork (of bone), hinged bone	0.0
𓄿𓅓𓅓𓂬	G1,G17,G17,D49	Amm	seize, grasp, attack	0.0
𓄿𓅓𓅓𓏏𓂬	G1,G17,G17,X1,D49	Ammt	grasp, fist	0.0
𓄿𓅓𓅓𓅱𓂝𓏥	G1,G17,G17,G43,D36,Z2	Ammw	gripings (medical)	0.0
𓄿𓄟𓋴𓅪𓏥	G1,F31,S29,G37,Z2	Ams	falsehood	0.0
𓄿𓄟𓋴𓌄	G1,F31,S29,S44	Ams	club, mace, wield the Ams	0.0
𓄿𓂋𓌗𓀜	G1,D21,T12,A24	Ar	drive away, oppress	0.0
𓄿𓇋𓂋𓌗𓀜	G1,M17,D21,T12,A24	Ar	oppress (the poor)	0.0
𓄿𓂋𓇋𓇋𓏏𓌃	G1,D21,M17,M17,X1,S43	Aryt	staff	0.0
𓄿𓂋𓏏𓇯	G1,D21,X1,N1	Art	heaven, sky	0.0
𓄿𓉔𓅱𓅪	G1,O4,G43,G37	Ahw	misery, trouble, injury, pain, illness	0.0
𓄿𓉔𓅪	G1,O4,G37	Ahw	misery, trouble	0.0
𓄿𓉔𓅪	G1,O4,J2,G37	Ahw	pain	0.0
𓄿𓉔𓏲𓅪𓀀	G1,O4,Z7,G37,A1	Ahw	sufferer	0.0
𓄿𓉔𓏏𓅪𓏥	G1,O4,J15,X1,G37,Z2	Ahmt	sorrow	0.0
𓄿𓉔𓂧𓅪	G1,O4,D46,G37	Ahd	quiver, palpitate, be weak	0.0
𓄿𓉔𓂧𓀁	G1,O4,D46,A2	Ahd	be weak	0.0
𓄿𓎛𓈀𓏥	G1,V28,N18,Z2	AH	type of bread	0.0
𓄿𓎛𓌸𓉗𓏏𓉐	G1,V28,U6,O6,X1,O1	AH  Hwt	tomb - shaft	0.0
𓄿𓎛𓇋𓇋𓈗	G1,V28,M17,M17,N35A	AHy	wave (flood)	0.0
𓄿𓆷𓏏	G1,M8,J1,X1	Axt	Inundation season	0.0
𓄿𓇇	G1,J1,M15	Ax	papyrus thicket	0.0
𓄿𓇇𓆤𓏏𓊖	G1,J1,M15,L2,X1,O49	Ax  bit	Chemmis	0.0
𓄿𓏛	G1,J1,Y1	Ax	the spirit - state	0.0
𓄿	G1,J1	Ax	spirit	0.0
𓄿𓅂𓈓	G1,J1,G4,N33A	Axtyw	horizon - dwellers	0.0
𓄿𓅱𓇶	G1,J1,G43,N8	Axw	sunlight, sunshine	0.0
𓄿𓄿𓆰	G1,J1,G1,J1,M2	AxAx	grow green	0.0
𓄿𓄿𓇼𓇼𓇼	G1,J1,G1,J1,N14,N14,N14	AxAx	stars	0.0
𓄿𓄿𓆱𓏥	G1,J1,G1,J1,M3,Z2	AxAx	spars (of ship) ?	0.0
𓄿𓆑𓏛	G1,J1,I9,Y1	Axf	fever (of appetite) ?	0.0
𓄿𓆑𓆑𓊮	G1,J1,I9,J1,I9,Q7	Axfxf	be fiery	0.0
𓄿𓄡𓂝𓂷	G1,F32,D36,D51	AXa	scratch, srape, carve, engrave	0.0
𓄿𓄡𓂝𓏏𓂷	G1,F32,D36,X1,D51	AXat	scratch, scar	0.0
𓄿𓄡𓃀𓀁	G1,F32,D58,A2	AXb	swallow	0.0
𓄿𓋴𓍬𓂻𓏒𓏥	G1,S29,V2,D54,X4,Z2	As	a type of cake, bread	0.0
𓄿𓋴𓍬𓂻	G1,S29,V2,D54	As	hurry, flow fast, hasten, overtake, quickly	0.0
𓄿𓊃𓍬𓂻	G1,O34,V2,D54	As	hurry, flow fast, hasten, overtake, quickly	0.0
𓄿𓋴𓅯	G1,S29,G41	As	bald-headed vulture	0.0
𓄿𓋴	G1,S29,J2	As	bald, viscera	0.0
𓄿𓊨𓏏𓁐	G1,Q1,X1,B1	Ast	Isis (goddess)	0.0
𓄿𓊃𓃀𓄁	G1,O34,D58,F3	Asb	fierce, glowing (of radience)	0.0
𓄿𓋴𓃀𓊮	G1,S29,D58,Q7	Asb	fierce, glowing (of radiance)	0.0
𓄿𓋴𓃀𓇋𓇋𓅱𓊮𓏪	G1,S29,D58,M17,M17,G43,Q7,Z3	Asbyw	flames	0.0
𓄿𓋴𓌴	G1,S29,J1,U2	Asx	sickle	0.0
𓄿𓋴𓏏𓄹	G1,S29,X1,F51	As     (Ast)	testicles	0.0
𓄿𓊃𓌴𓂡	G1,O34,J1,U2,D40	Asx	reap	0.0
𓄿𓋴𓌳	G1,S29,J1,U1	Asx	reap	0.0
𓄿𓋴𓂝	G1,S29,J1,D36	Asx	reap	0.0
𓄿𓈙𓏲𓏊𓏥	G1,N37,Z7,W22,Z2	AS	a type of drink	0.0
𓄿𓈙𓂋𓊮	G1,N37,D21,Q7	ASr	roast	0.0
𓄿𓈙𓂋𓄹	G1,N37,D21,F51	ASr	roast, roast meat, a roast	0.0
𓄿𓈙𓂋𓏏𓄹	G1,N37,D21,X1,F51	ASrt	roast joint	0.0
𓄿𓊃𓂋𓏏𓇯	G1,O34,D21,X1,N1	Asrt	heaven, sky	0.0
𓄿𓈎𓅪	G1,N29,G37	Aq	perish, come to grief	0.0
𓄿𓈎𓏲𓅪𓏥	G1,N29,Z7,G37,Z2	Aqw	ruin, misfortune	0.0
𓄿𓈎𓅪	G1,N29,G37	Aqw	misfortune	0.0
𓄿𓈎𓎛𓅱𓌏	G1,N29,V28,G43,T7A	AqHw	battle-axe	0.0
𓄿𓈎𓋴𓍱	G1,N29,S29,V6	Aqs	a type of garment	0.0
𓄿𓈎𓂧𓇼𓀭	G1,N29,D46,N14,A40	Aqd	a star	0.0
𓄿𓎡𓂝	G1,V31,D36	Ak	be bent (of elbow)	0.0
𓄿𓎡𓂋	G1,V31,D21,E128	Akr	Aker, the earth, earth-gods	0.0
𓄿𓎡𓂋𓆙𓏥	G1,V31,D21,I14,Z2	Akrw	earth - gods	0.0
𓄿𓎡𓂋𓀭𓏪	G1,V31,D21,A40,Z3	Akrw	earth - gods	0.0
𓄿𓎡𓂋𓅆𓈓	G1,V31,D21,G7,N33A	Akrw	earth - gods	0.0
𓄿𓏏𓀜	G1,X1,A24	Ayt	blanch	0.0
𓄿𓏏𓆊	G1,X1,I3	Adw	aggressor	0.0
𓄿𓏏𓇋𓇋𓏏𓂾𓁐	G1,X1,M17,M17,X1,D56,B1	ATyt	nurse	0.0
𓄿𓍘𓇋𓏲𓏏𓆱	G1,U33,M17,Z7,X1,M3	ATwt	bed	0.0
𓄿𓏏𓆑	G1,X1,I9,F7D	Atf	be crowned	0.0
𓄿𓏏𓆑𓅱𓋚	G1,X1,I9,G43,S8	Atfw	Atef-crown	0.0
𓄿𓏏𓆑𓋚𓏥	G1,X1,I9,S8,Z2	Atfw	Atef crown	0.0
𓄿𓏏𓆑𓅱𓄅	G1,X1,I9,G43,F7	Atfw	Atef crown	0.0
𓄿𓍿	G1,V13,B5D	AT	nurse	0.0
𓄿𓍿𓇋𓇋𓁔	G1,V13,M17,M17,B5	AT	nurse	0.0
𓄿𓏏𓇋𓇋𓏏𓂾𓁐	G1,X1,M17,M17,X1,D56,B1	AT	nurse	0.0
𓄿𓍿𓇋𓇋𓏏	G1,V13,M17,M17,X1,B5D	ATyt	nurse	0.0
𓄿𓍿𓏏	G1,V13,X1,Q18	ATwt	bed	0.0
𓄿𓍿𓅱𓏏𓆱	G1,V13,G43,X1,M3	ATwt	bed	0.0
𓄿𓍘𓇋𓏲𓏏𓆱	G1,U33,M17,Z7,X1,M3	ATwt	bed	0.0
𓄿𓍿𓊪𓀋	G1,V13,Q3,A9	ATp	load, be laden	0.0
𓄿𓏏𓊪𓀋	G1,X1,Q3,A9	ATp	load (a ship)	0.0
𓄿𓏏𓊪𓂡	G1,X1,Q3,A125,D40	ATp	load (a ship)	0.0
𓄿𓏏𓊪𓅱𓀋𓀜	G1,X1,Q3,G43,A9,A24	Atpw	load, cargo	0.0
𓄿𓏏𓊪𓅱𓏏𓀋𓂡𓏥	G1,X1,Q3,G43,X1,A9,D40,Z2	Atpwt	load, cargo	0.0
𓄿𓏏𓊪𓇋𓇋𓏏𓀋	G1,X1,Q3,M17,M17,X1,A9	Atpwt	cargo	0.0
𓄿𓏏𓊪𓀋𓆱	G1,X1,Q3,A9,M3	Atp	coffer	0.0
𓄿𓂧𓂻	G1,D46,D54	Ad	quiver, palpitate	0.0
𓄿𓂧𓆊	G1,D46,I3	Ad	be savage, be aggressive, be angry, attack, anger	0.0
𓄿𓂧𓅱𓆊𓀀	G1,D46,G43,I3,A1	Adw	aggressor	0.0
𓄿𓂧𓅱𓂝𓀀	G1,D46,G43,D36,A1	Adw	aggressor	0.0
𓄿𓏏𓆊	G1,X1,I3	Adw	aggressor	0.0
𓄿𓂧	G1,D46,J2	Ad	decay	0.0
𓄿𓂧𓏏𓏛𓀜	G1,D46,X1,Y1,A24	Adt	prepare (a sleeping place)	0.0
𓄿𓂧𓏏𓏯𓀜	G1,D46,X1,Z5,A24	Adt	prepare	0.0
𓄿𓅓	G1,G17,T30A	iAm	bind (the sacrifice)	0.0
𓄿𓊃	G1,O34,J2	iAs	bald	0.0
𓄿𓄟𓋴𓅪𓏥	G1,F31,S29,G37,Z2	iwms	misstatement	0.0
𓄿𓊪𓂧𓆱𓏥	G1,Q3,D46,M3,Z2	ipdw	furniture	0.0
𓄿𓈎𓎛𓅱𓌏	G1,N29,V28,G43,T7A	iqHw	battle - axe	0.0
𓅌𓏏	G11,X1	Snbt	breast	0.0
	G131	Xrt  nTr	necropolis	0.0
	G131B	Xrt  nTr	necropolis	0.0
	G139,E21E	nbwy	The Two Lords (Horus and Seth)	0.0
𓅐𓏏𓁐𓂋𓍿𓀀𓁐𓏥	G14,X1,B1,D21,V13,A1,B1,Z2	mwt  rmT	placenta	0.0
𓅐𓏏𓊌	G14,X1,O39	mwt	weight	0.0
	G144	Dryt	kite (bird)	0.0
𓏏𓏭𓀜𓀀	G167,X1,Z4,A24,A1	rxty	washerman	0.0
𓅓𓇍𓇋𓂻𓈖	G17,M18,M17,D54,N35	m  ii  n	as the consequence of, as the outcome of	0.0
𓅓𓃛𓏏𓅱	G17,E9,X1,G43	m  iwyt	wrongfully	0.0
𓅓𓂋𓏏	G17,D21,X1	imyt  r	forewoman (of gang)	0.0
𓅓𓂋𓏤𓄏𓄙𓆄𓆠	G17,D21,Z1,F16,F25,H6,K6	imy  r   ab   wHmt   Swt   nSmt	Overseer of horn, hoof, feather and scale (livestock)	0.0
𓅓𓆱𓏏𓏤	G17,M3,X1,Z1	imy  xt	member of the bodyguard	0.0
𓅓𓆱𓏏𓀎	G17,M3,J1,X1,A12	imy  xt	member of the bodyguard	0.0
𓅓𓆱𓏏𓀀𓀀𓀀	G17,M3,X1,A1,A1,A1	imyw  xtw	those of later times, posterity	0.0
𓅓𓉻𓂝𓄿𓏛𓂋𓏤	G17,O29,D36,G1,Y1,D21,Z1	m   aA   r	(speak)  boastfully	0.0
𓅓𓂋𓋮𓅱𓀁	G17,D21,S25,G43,A2	imy  r  aw	caravan leader	0.0
𓅓𓂋𓏤𓄏𓄙𓆄𓆠	G17,D21,Z1,F16,F25,H6,K6	imy  r   ab   wHmt   Swt   nSmt	Overseer of horn, hoof, feather and scale (livestock)	0.0
𓅓𓂝𓈎𓄿𓏏𓂭𓂭	G17,D36,N29,G1,X1,D50,D50	m   aqAyt	exactly	0.0
𓅓𓂋𓅱𓈇𓏤	G17,D21,G43,N23,Z1	imy  r  w	district - superintendent	0.0
𓅓𓂋𓈇𓏤𓀀	G17,D21,N23,Z1,A1	imy  r  w	district - superintendent	0.0
𓅓𓅱𓋴𓍿𓈖𓂻	G17,G43,S29,V13,N35,D54	m  wsTn	unhindered, with free access	0.0
𓅓𓂺𓏛𓂝𓏤	G17,D53,Y1,D36,Z1	m  bAH  a	in the presence of	0.0
𓅓𓃀𓅡𓎛𓂺𓏛	G17,D58,G29,V28,D53,Y1	m  bAH	in the presence of, in front of, in front, formerly	0.0
𓅓𓃀𓇋𓄿𓎺𓄑𓏛𓏥𓀁	G17,D58,M17,G1,W10,F18,Y1,Z2,A2	m  biA	no	0.0
𓅓𓃀𓇋𓀁	G17,D58,M17,A2	m   biA	no	0.0
𓅓𓃀𓅱𓌡𓏤	G17,D58,G43,T21,Z1	m  bw  wa	all together	0.0
𓅓𓂋𓉐𓏤	G17,D21,O1,Z1	imy  r  pr	steward	0.0
𓅓𓉐𓉐	G17,O1,O1	imy  prwy	member of the administration	0.0
𓅓𓂋𓂝	G17,D21,D36	m  rdi	let not	0.0
𓅓𓂝𓈖𓎡	G17,D36,N35,V31	m  n .k	take to yourself	0.0
𓅓𓌷𓂝𓏏𓆄𓏛𓏥	G17,U5,D36,X1,H6,Y1,Z2	m   mAat	truly	0.0
𓅓𓌳𓏏𓅱𓏛	G17,U1,X1,G43,Y1	m   mAwt	newly, anew	0.0
𓅓𓂝𓈎𓏏𓊢𓆱	G17,D36,N29,X1,P6,M3	mAqt	ladder	0.0
𓅓𓂝𓇋𓂻	G17,D36,M17,D54	mi	come !	0.0
𓅓𓂠𓈗	G17,D39,N35A	mi(w)	waters	0.0
𓅓𓏇𓏏𓏏𓏛	G17,W19,X1,X1,Y1	m   mitt	likewise	0.0
𓅓𓇋𓄿𓊃𓅱𓏥	G17,M17,G1,O34,G43,T30A,Z2	miAsw	spines	0.0
𓅓𓏭𓅓𓏭𓈒𓏥	G17,Z4,G17,Z4,N33,Z2	mymy	seed corn of emmer ?	0.0
𓅓𓅓𓈒𓈒𓈒	G17,G17,N33,N33,N33	mymy	seed corn of emmer ?	0.0
𓅓𓅓𓇋𓈒𓏥	G17,G17,M17,N33,Z2	mymy	seed corn of emmer ?	0.0
𓅓𓊃𓏏𓄹𓈓	G17,O34,X1,F51,N33A	mist	liver	0.0
𓅓𓂝𓈖𓏏𓏏	G17,D36,N35,X1,X1	m  a  ntt	seeing that	0.0
𓅓𓂝𓏏𓊛	G17,D36,X1,P1	mat	type of boat	0.0
𓅓𓂝𓅱𓎛𓊤	G17,D36,G43,V28,P8	mawH	oar	0.0
𓅓𓂝𓎛	G17,D36,V28,P8A	mawH	oar	0.0
𓅓𓂝𓅡𓎆𓎆𓎆𓌡	G17,D36,G29,V20,V20,V20,T21	mabA	harpoon	0.0
𓅓𓂝𓆑𓎅	G17,D36,I9,V19	maf	headsman''s block	0.0
𓅓𓋹𓈖𓏏	G17,S34,N35,J1,X1,J20	manxt	pendant	0.0
𓅓𓏏𓊞	G17,V26A,X1,P3	manDt	day barque (of sun god)	0.0
𓅓𓂝𓈖𓆓𓅱𓏏𓊞	G17,V26A,D36,N35,I10,G43,X1,P3	manDt	day barque (of sun god)	0.0
𓅓𓎚𓏏𓊞	G17,V27,X1,P3	manDt	day - barque (of sun god)	0.0
𓅓𓎚𓂧𓏏	G17,V27,D46,X1,P121	manDt	day - barque (of sun god)	0.0
𓅓𓂝𓂋𓇟𓏛	G17,D36,D21,M32,Y1	mar	fortunate, successful, flourishing	0.0
𓅓𓂝𓂋𓏛	G17,D36,D21,Y1	mar	fortunate, successful	0.0
𓅓𓂝𓂋𓇟	G17,D36,D21,M32,Y1V	mar	success	0.0
𓅓𓊢𓂝𓏏𓉐	G17,P6,D36,X1,O1	maHat	tomb, cenotaph (above ground level)	0.0
𓅓𓂝𓎡𓄿𓀜	G17,D36,V31,G1,A24	makA	brave	0.0
𓅓𓅱𓅱𓀀𓏥	G17,G43,G43,A1,Z2	mww	Muu        class of Ritual dancers	0.0
𓅓𓂠𓏏𓁐	G17,D39,X1,B1	mwt	mother	0.0
𓅓𓂠𓅱𓈖𓆑𓀀𓏥	G17,D39,G43,N35,I9,A1,Z2	mwnf	garrison, (palace) guard, protector (of poor)	0.0
𓅓𓂝𓈖𓆑𓀜𓀀𓏥	G17,D36,N35,I9,A24,A1,Z2	mwnf	(palace) guard	0.0
𓅓𓆑𓎡𓏏𓈓	G17,I9,V31,X1,N33A	mfkAt	turquoise	0.0
𓅓𓂠𓆑𓎡𓏏𓈓	G17,D39,I9,V31,X1,N33A	mfkAt	turquoise	0.0
𓅓𓂝𓆑𓄿𓎡𓏏𓈓	G17,D36,I9,G1,V31,X1,N33A	mfkAt	turquoise	0.0
𓅓𓂝𓅓𓂝	G17,D36,G17,D36	m  m	among, therein	0.0
𓅓𓅓𓈒𓈒𓈒	G17,G17,N33,N33,N33	mymy	seed - corn	0.0
𓅓𓅓𓇋𓈒𓈒𓈒	G17,G17,M17,N33,N33,N33	mymy	seed - corn	0.0
𓅓𓂝𓅓𓂝𓄛	G17,D36,G17,D36,F27	mmy	giraffe	0.0
𓅓𓏠𓈖𓏛	G17,Y5,N35,Y1	m  mn	at the fixed rate of	0.0
𓅓𓌻𓂋𓅱𓏏𓀁	G17,U7,D21,G43,X1,A2	m  mrwt	in order that	0.0
𓅓𓂋𓏤𓇋𓇋𓈖𓄿𓀏	G17,D21,Z1,M17,M17,N35,G1,A13	mryn	Syrian warrior	0.0
𓅓𓂝𓂋𓏤𓇋𓇋𓈖𓄿𓌙𓀀	G17,D36,D21,Z1,M17,M17,N35,G1,T14,A1	mryn	Syrian warrior	0.0
𓅓𓂝𓃭𓏤𓎡𓄿𓃀𓏲𓍘𓇋𓆱	G17,D36,E23,Z1,V31,G1,D58,Z7,U33,M17,M3	mrkbt	chariot	0.0
𓅓𓉔𓏭𓅪	G17,O4,Z4,G37	mhy	be forgetful, neglectful (of)	0.0
𓅓𓂟𓉔	G17,D38,O4	mhy	be forgetful, neglectful	0.0
𓅓𓉔𓅪	G17,O4,G37	mhy	be forgetful, neglectful	0.0
𓅓𓂝𓉔𓏭𓅪	G17,D36,O4,Z4,G37	mhy	be forgetful, neglectful	0.0
𓅓𓉔𓏭𓅪𓄣𓏤	G17,O4,Z4,G37,F34,Z1	mh  ib	the heart is forgetful (has defective action)	0.0
𓅓𓉔𓏏𓅪𓈓	G17,O4,X1,G37,N33A	mht	forgetfulness, negligence	0.0
𓅓𓂝𓉔𓏏𓅪𓄣𓏤	G17,D36,O4,X1,G37,F34,Z1	mht   ib	negligence (of poor heart action)	0.0
𓅓𓉔𓇋𓏏𓃒	G17,O4,M17,X1,E1	mhit	milch cow	0.0
𓅓𓂝𓉔𓄿𓈖𓆱	G17,D36,O4,G1,N35,M3	mhn	coffer	0.0
𓅓𓉔𓂋𓏊	G17,O4,D21,W22	mhr	milk jar	0.0
𓅓𓂝𓉔𓂋𓏇	G17,D36,O4,D21,W19	mhr	milk jar	0.0
𓅓𓎔𓇋𓇋𓀭	G17,V22,M17,M17,A40	mHy	guardian	0.0
𓅓𓎔𓎛	G17,V22,V28	mHi	drown, bedrowned	0.0
𓅓𓎔𓎛𓈗	G17,V22,V28,N35A	mHi	overflow (of Nile)	0.0
𓅓𓎔𓎛𓈗	G17,V22,V28,A96,N35A	mHi	swim, launch (a  vessel)	0.0
𓅓𓇉𓄿𓁶	G17,M16,G1,D1	mHA	back of the head	0.0
𓅓𓂝𓇉𓄿𓁶	G17,D36,M16,G1,D1	mHA	back of the head	0.0
𓅓𓎛𓈖𓏯	G17,V28,N35,Z5	mHn	coil (of serpents)	0.0
𓅓𓂝𓎛𓆰𓈖𓎡𓀀	G17,D36,V28,M2,N35,V31,A1	mHnk	partner ?	0.0
𓅓𓏛	G17,J1,Y1	mx	respect (someone)	0.0
𓅓𓂟	G17,D38,J1	mx	respect (someone)	0.0
𓅓𓂝𓆼𓄿𓏲𓏴𓀜	G17,D36,M12,G1,Z7,Z9,A24	mxA	make fast, bind	0.0
𓅓𓆼𓄿𓏏𓍝	G17,M12,G1,X1,U38	mxAt	balance	0.0
𓅓𓄿𓏏𓍝	G17,J1,G1,X1,U38	mxAt	balance	0.0
𓅓𓂝𓆼𓄿𓏏𓍞𓆱	G17,D36,M12,G1,X1,U39,M3	mxAt	balance	0.0
𓅓𓂝𓆼𓄿𓏏𓌙𓌙𓍝	G17,D36,M12,G1,X1,T14,T14,U38	mxAt	balance	0.0
𓅓𓂝𓏏	G17,D36,J1,X1,U38B	mxAt	balance	0.0
𓅓𓂝𓆼𓄿𓌙𓌙𓏛	G17,D36,M12,G1,T14,T14,Y1	mxA	match, equal, adjust, counterpoise, make level	0.0
𓅓𓂝𓄿𓌙𓌙	G17,D36,G1,T14,T14,U38B	mxA	match, equal, adjust, counterpoise, make level	0.0
𓅓𓂝𓄿𓌙𓌙𓀁	G17,D36,G1,T14,T14,A2	mxA	match, equal, adjust, counterpoise, make level	0.0
𓅓𓂝𓆼𓄿𓌙𓌙𓏛	G17,D36,M12,G1,T14,T14,Y1	mxA	be like	0.0
𓅓𓂝𓆼𓄿𓌙𓌙𓏛𓄣𓏤𓈖	G17,D36,M12,G1,T14,T14,Y1,F34,Z1,N35	mxA  ib  n	like in disposition to	0.0
𓅓𓂝𓆼𓄿𓏲𓉐	G17,D36,M12,G1,Z7,O1	mxAw	shed	0.0
𓅓𓂝𓈖𓅓𓏏𓈒𓏥	G17,D36,J1,N35,G17,X1,N33,Z2	mxnmt	carnelian ?, jasper ?	0.0
𓅓𓏃𓈖𓏏𓂉	G17,W17,N35,X1,D19	mxnt	face, upper part of face	0.0
